,SOC 2018 CODE,SOC 2018 CODE_with_x,SOC 2018 CODE_with_xx,OCCUPATION,OCC_CODE,TOT_EMP,H_MEAN,A_MEAN,O_GROUP,I_GROUP,"Percent of workers, reaching at or below the shoulder is required","Percent of workers, choice of sitting or standing is allowed","Percent of workers, reaching at or below the shoulder is required, both hands","Percent of workers, fine manipulation is required, both hands","Percent of workers, reaching overhead is required, one hand","Percent of workers, reaching overhead is required, both hands","Hours of standing, mean",PCT_STAND,"Hours of sitting, mean",PCT_SIT,STANDING_BOOLEAN,SITTING_BOOLEAN,"Percent of workers, choice of sitting or standing is not allowed","Percent of workers, with the ability to pause work","Percent of workers, fine manipulation is required, one hand","Percent of workers, exposed to very loud noise","Percent of workers, hearing over the telephone is required","Percent of workers, exposed to outdoors","Percent of workers, low postures are required","Percent of workers, exposed to wetness","Percent of workers, reaching overhead is required","Percent of workers, stooping is required","Percent of workers, foot or leg controls is required","Percent of day where standing is required, mean","Percent of day where sitting is required, mean","Percent of workers, problem solving is required once per day","Percent of workers, problem solving is required less often than monthly, including never","Percent of workers, crawling is required","Percent of workers, kneeling is required","Percent of workers, crouching is required","Percent of workers, keyboarding is required","Percent of workers, driving is required","Percent of workers, with telework available","Percent of workers, minimum education level is a bachelor's degree","Percent of workers, gross manipulation is required","Percent of workers, fine manipulation is required","Percent of workers, working around crowds is required","Percent of workers, exposed to extreme cold","Percent of workers, exposed to extreme heat","Percent of workers, speaking is required","Percent of workers, exposed to heights","Percent of workers, in proximity to moving mechanical parts","Percent of workers, climbing ladders, ropes, or scaffolds is required","Percent of workers, exposed to hazardous contaminants","Percent of workers, exposed to loud noise","Percent of workers, without the ability to pause work","Percent of workers, lifting or carrying > 25 lbs is required, constantly","Percent of workers, problem solving is required not every week, but at least once per month","Percent of workers, problem solving is required not every day, but at least once per week",dots,OCC_SHORT,INJURY_RATE,nonwhite_pct,white_pct,black_pct,hisp_pct,asian_pct,noncitizen_pct,n
33,254031,25403X,2540XX,Library technicians,254031,76670,20.46,42570,detailed,cross-industry,93.7,63.6,74.1,48.8,22.1,45.9,3.12,39,4.01,50.125,1,50.125,36.4,74.9,51.2,<0.5,98.9,22.5,68.4,<0.5,68,13.9,7.4,44.2,55.8,<5,67.1,<0.5,7.4,5,>99.5,5.6,<0.5,19.4,>99.5,>99.5,2.6,<0.5,<0.5,>99.5,<0.5,<0.5,5.5,<0.5,<0.5,25.1,<0.5,<15,16.3,2,Library Technicians,,22.1420199,77.8579801,7.3135566,12.3616768,7.0233933,3.669394081,282
50,254022,25402X,2540XX,Librarians and media collections specialists,254022,133760,32.97,68570,detailed,cross-industry,88.8,76.2,59.7,,25.5,39,3.16,39.5,4.52,56.5,1,56.5,23.8,76.2,52.2,<0.5,96.8,5.5,66.8,<0.5,64.5,18.2,7.6,41.3,58.7,7.5,12.1,<0.5,,14.1,>99.5,7.2,3.1,28,>99.5,>95,4.1,<0.5,<0.5,>99.5,<5,<0.5,14.8,<0.5,<0.5,23.8,<0.5,17.2,27,3,Librarians,,13.7958723,86.2041277,6.1938041,6.9833675,3.4877852,1.781441979,204
63,119031,11903X,1190XX,"Education and childcare administrators, preschool and daycare",119031,64090,29.48,61320,detailed,cross-industry,83.8,72.8,79.4,57.3,,,3.31,41.375,4.95,61.875,1,61.875,27.2,90.8,42.7,<0.5,>99.5,57.3,64.2,47.8,28.2,<25,15.4,38.7,61.3,13.9,<0.5,<0.5,<10,<0.5,>99.5,15.4,5.7,39.3,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,2.7,9.2,<0.5,7.9,22,2,Preschool Administrators,187,22.4157415,77.5842585,12.9114272,10.8217501,3.6071341,2.677374309,301
26,435021,43502X,4350XX,Couriers and messengers,435021,72010,18.44,38350,detailed,cross-industry,93,11,86.4,84.4,,,2.62,32.75,4.31,53.875,1,53.875,89,81.4,15.6,<0.5,,,81.6,<35,,,97.4,38.6,61.4,<0.5,>99.5,<0.5,,,,97.4,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>80,<5,<0.5,<5,<0.5,<0.5,18.6,<0.5,<0.5,<0.5,2,Couriers,215.5,35.3758580,64.6241420,18.4695116,21.0462673,4.4919183,9.316290722,292
93,411012,41101X,4110XX,First-line supervisors of non-retail sales workers,411012,227150,47.61,99020,detailed,cross-industry,52.3,71.6,40.3,,,,3.05,38.125,5.07,63.375,1,63.375,28.4,>85,66,<0.5,>99.5,10.7,30.6,<0.5,29.3,6.6,49.2,37.5,62.5,28.5,,<0.5,,<10,>99.5,48.6,27.1,36.3,>95,>95,<0.5,<0.5,<0.5,>99.5,2.7,<0.5,<45,<0.5,<0.5,<15,<0.5,,21.5,5,Non-Retail Supervisors,35.4,21.7234598,78.2765402,7.0580865,14.1643516,5.3082492,5.644482612,132
86,291127,29112X,2911XX,Speech-language pathologists,291127,172100,44.53,92630,detailed,cross-industry,67.1,72.9,56.7,50.7,2.3,15.8,2.64,33,4.53,56.625,1,56.625,27.1,64.5,49.3,<0.5,97.6,6.4,36.3,23.8,18.2,4,29.5,36.1,63.9,,,<0.5,<0.5,<0.5,>99.5,20.3,1,7.4,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,35.5,<0.5,,,4,Speech Pathologists,353.7,15.7241436,84.2758564,4.5390930,8.5423242,3.1066839,1.584103547,167
90,273091,27309X,2730XX,Interpreters and translators,273091,51560,30.33,63080,detailed,cross-industry,,85.8,,79.7,,,2.14,26.75,3.57,44.625,1,1,14.2,29.7,,<0.5,96.5,6.6,6.1,9.2,,<0.5,4.4,34,66,<0.5,78,<0.5,<0.5,<0.5,85,4.4,<20,9.2,>95,>95,<5,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<0.5,<0.5,70.3,<0.5,<20,3.2,2,Interpreters,27.1,36.1891638,63.8108362,5.7101104,38.2790029,12.9534841,14.29808555,329
3,414012,41401X,4140XX,"Sales representatives, wholesale and manufacturing, except technical and scientific products",414012,1288920,38.7,80490,detailed,cross-industry,59.6,72.5,52.3,50.1,1.1,20.2,2.68,33.5,5.39,67.375,1,67.375,27.5,89.7,49.9,<0.5,>99.5,30.1,26.6,3.6,21.3,6.5,80,33.3,66.7,11.6,37.4,<0.5,2.8,3.4,98.3,79.8,40,17.5,>99.5,>99.5,2.6,<5,<0.5,>99.5,3.6,4.1,6.5,<0.5,<0.5,10.3,<0.5,10.3,28.9,26,Sales Reps (Wholesale),10.8,12.7599854,87.2400146,4.5970388,11.5783058,3.7800961,4.119076485,21
5,319094,31909X,3190XX,Medical transcriptionists,319094,52420,18.79,39090,detailed,cross-industry,,95.9,,,<0.5,<0.5,2.12,26.5,4.93,61.625,1,61.625,4.1,95.5,,<0.5,95.8,<0.5,<25,<10,<0.5,<0.5,<10,33.2,66.8,<0.5,89.3,<0.5,<0.5,<0.5,>99.5,<10,,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,,<0.5,<0.5,<0.5,<0.5,<0.5,4.5,<0.5,<0.5,10.4,2,Medical Transcriptionists,28.3,23.7990234,76.2009766,6.3814719,10.5177491,12.9803810,3.307530783,326
9,211023,21102X,2110XX,Mental health and substance abuse social workers,211023,114680,30.71,63870,detailed,cross-industry,69.2,,,29.4,<5,<5,2.64,33,5.31,66.375,1,66.375,,60.7,70.6,<0.5,>99.5,12.1,17.5,29.2,2.2,<0.5,66.1,33.2,66.8,16.2,,<0.5,<0.5,,>99.5,,14.8,18,>99.5,>99.5,<5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,39.3,<0.5,,17.5,3,Mental Health Social Workers,79.4,33.3487115,66.6512885,10.4631067,12.8035385,2.6040599,1.417733384,230
9,211093,21109X,2110XX,Social and human service assistants,211093,409310,21.27,44240,detailed,cross-industry,70.9,68.5,60.9,57,3.7,34.9,2.56,32,5.17,64.625,1,64.625,31.5,79.2,,<0.5,97.6,42.2,47.1,23,38.6,1.7,70.4,32.7,67.3,16.7,35.3,<0.5,,1,>70,63.8,22.8,20.8,>99.5,>99.5,<5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,20.8,<0.5,6.5,23.3,9,Human Service Assistants,36.6,32.9906406,67.0093594,21.6762143,19.1927076,3.6054625,3.90376836,81
19,533011,53301X,5330XX,"Ambulance drivers and attendants, except emergency medical technicians",533011,11520,16.55,34420,detailed,cross-industry,97.7,<0.5,87.8,66.9,,,3.17,39.625,6.15,76.875,1,76.875,>99.5,<0.5,,<0.5,80.9,>99.5,>80,43.7,,,>99.5,32.3,67.7,<0.5,76.6,<10,,,,>99.5,<0.5,<0.5,>99.5,>99.5,7.5,<0.5,<0.5,>99.5,<5,<0.5,<5,<0.5,7.6,>99.5,<0.5,<0.5,,1,Ambulance Drivers,333.2,31.4510300,68.5489700,17.1748360,14.5658047,4.0679274,6.514859128,426
10,251081,25108X,2510XX,"Education teachers, postsecondary",251081,60860,*,80750,detailed,cross-industry,57.4,93.3,38.2,38.8,,,2.07,25.875,4.42,55.25,1,55.25,6.7,86.7,61.2,<0.5,>95,<5,<5,<5,16.3,<0.5,7.8,32.1,67.9,20.7,12.2,<0.5,<0.5,<0.5,>99.5,7.8,45.4,18.6,>90,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,13.3,<0.5,11.1,38.6,2,Postsecondary Teachers,6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,310
41,251067,25106X,2510XX,"Sociology teachers, postsecondary",251067,12870,*,97580,detailed,cross-industry,67,>99.5,39.9,,,,2.32,29,4.73,59.125,1,59.125,<0.5,>95,54.6,<0.5,>85,<0.5,<0.5,<0.5,,<0.5,1.7,31.9,68.1,32.6,<5,<0.5,<0.5,<0.5,>99.5,1.7,26.4,,>99.5,>90,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,<5,<0.5,<40,25,1,Sociology Teachers (Postsecondary),6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,412
38,131121,13112X,1311XX,"Meeting, convention, and event planners",131121,122130,29.94,62280,detailed,cross-industry,60.1,64,56,53.6,0.7,21.8,2.56,32,5.42,67.75,1,67.75,36,95.3,,<0.5,>99.5,51.1,37.5,0.7,22.5,9.5,39.6,31.9,68.1,24.3,8.6,<0.5,<0.5,,>99.5,39.2,33.7,56.9,>99.5,>99.5,32.7,<0.5,<0.5,>99.5,<0.5,<0.5,<10,<0.5,7.2,4.7,<0.5,6.8,35.3,3,Event Planners,21.7,20.6735771,79.3264229,9.2602770,12.4900769,4.0447442,4.327865212,214
23,251065,25106X,2510XX,"Political science teachers, postsecondary",251065,17090,*,104910,detailed,cross-industry,36.2,97.4,32.7,38,<5,<10,2.4,30,5.01,62.625,1,62.625,2.6,>90,62,<0.5,99,<0.5,<0.5,<0.5,5.7,<0.5,<15,31.7,68.3,24.5,<0.5,<0.5,<0.5,<0.5,>99.5,<15,27.9,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,<10,<0.5,7.3,36.1,1,Political Science Teachers (Postsecondary),6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,387
69,251126,25112X,2511XX,"Philosophy and religion teachers, postsecondary",251126,20320,*,89680,detailed,cross-industry,,>95,,31.8,<40,<0.5,2.37,29.625,5.15,64.375,1,64.375,<5,>99.5,68.2,<0.5,>99.5,<0.5,<0.5,<0.5,<40,<0.5,<0.5,31.4,68.6,<45,<20,<0.5,<0.5,<0.5,>99.5,<0.5,34.6,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,6.2,36,1,Philosophy Teachers (Postsecondary),4.1,,,,,,,377
44,419031,41903X,4190XX,Sales engineers,419031,59340,62.77,130550,detailed,cross-industry,21.9,>70,,,<0.5,<0.5,2.52,31.5,5.57,69.625,1,69.625,<30,>80,,<0.5,>99.5,16,<10,<0.5,<0.5,<10,,31.2,68.8,12.8,<0.5,<0.5,<0.5,<0.5,>99.5,,28.7,84.7,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,12.8,<0.5,<0.5,<0.5,<20,<0.5,<0.5,15.9,2,Sales Engineers,23.7,13.6163510,86.3836490,2.0309985,7.8196067,6.5583234,5.991533133,312
81,211021,21102X,2110XX,"Child, family, and school social workers",211021,352160,28.46,59190,detailed,cross-industry,70.7,83.6,52.1,49.1,<0.5,13.9,2.4,30,5.34,66.75,1,66.75,16.4,82.4,50.9,<0.5,>99.5,33.1,33.6,20.5,14.4,8.3,66,31,69,34.5,2.3,<15,,,>99.5,65.8,13.1,51.5,>99.5,>99.5,1.3,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,17.6,<0.5,4.1,33.5,8,Social Workers (Family),28.1,33.3487115,66.6512885,21.2193191,14.1895713,2.2463522,1.793914716,94
11,211015,21101X,2110XX,Rehabilitation counselors,211015,84750,23.28,48430,detailed,cross-industry,48.4,80.4,43.5,43.7,,,2.25,28.125,5.45,68.125,1,68.125,19.6,84.3,56.3,<0.5,>99.5,23.6,42.3,15.2,31.6,15.9,71.9,29.8,70.2,28.8,<10,<0.5,<0.5,<10,>95,71.1,12.7,35,>99.5,>99.5,<5,<10,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<5,15.7,<0.5,<20,23.4,2,Rehab Counselors,136.5,30.6942753,69.3057247,18.6443057,11.7395271,2.9436531,2.652445442,268
40,259031,25903X,2590XX,Instructional coordinators,259031,207270,37.12,77200,detailed,cross-industry,47.3,72.8,27.1,39.1,3.4,5.2,2.26,28.25,5.55,69.375,1,69.375,27.2,90.7,60.9,<0.5,>95,4.8,15.5,<5,8.6,2.4,15.2,29.1,70.9,41.2,2.1,<0.5,<0.5,<5,>99.5,15.2,37,65.3,>99.5,>99.5,1.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,9.3,<0.5,5.8,22.2,5,Instructional Coordinators,4.4,28.5101229,71.4898771,12.9322791,18.0305228,6.1140986,6.619613237,143
75,253041,25304X,2530XX,Tutors,253041,162300,23.36,48580,detailed,cross-industry,,95,,,,,1.37,17.125,3.33,41.625,1,1,5,76.5,,<0.5,,6.4,27.7,<0.5,9.4,<0.5,<15,28.2,71.8,,,<0.5,<0.5,<0.5,>85,<5,<0.5,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,23.5,<0.5,32.8,11,4,Tutors,20,33.2964890,66.7035110,9.2515875,14.6918611,14.2735687,7.300793302,175
29,254011,25401X,2540XX,Archivists,254011,7150,31.59,65700,detailed,cross-industry,68.4,86.6,58.4,51.3,6,29,2.19,27.375,5.59,69.875,1,69.875,13.4,>99.5,48.7,<0.5,94.9,<0.5,43,<0.5,35.1,8.8,15.8,27.8,72.2,34.5,8.6,<0.5,<0.5,5.3,>99.5,15.4,17.8,44.7,>99.5,>99.5,<0.5,<0.5,<0.5,>95,6.4,<0.5,8.1,<0.5,<0.5,<0.5,<0.5,14.9,10.2,1,Archivists,51,13.5410552,86.4589448,4.4669491,7.9395616,3.2445636,3.635813411,445
22,274012,27401X,2740XX,Broadcast technicians,274012,26190,34.43,71600,detailed,cross-industry,84.9,,>60,79.2,,,,,3.8,47.5,,1,,,,<0.5,>95,,,<5,,<10,,27.5,72.5,16.3,21.8,,<30,12.4,>99.5,,,3.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,5.7,<5,12.4,<0.5,<0.5,,<0.5,,<15,1,Broadcast Technicians,11.5,18.3835240,81.6164760,6.8381817,12.5328854,4.7339115,5.92674258,370
78,211012,21101X,2110XX,"Educational, guidance, and career counselors and advisors",211012,327660,32.21,66990,detailed,cross-industry,45.5,91,33.1,41.7,1,2.7,2.08,26,5.53,69.125,1,69.125,9,78.7,58.3,<0.5,>99.5,10.5,9.3,<10,3.6,1.1,16.2,27.2,72.8,21.6,3.5,<0.5,<0.5,<5,>99.5,16,9.7,51.5,>99.5,>99.5,3.4,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,21.3,<0.5,7.7,29,7,School Counselors,33.9,30.6942753,69.3057247,15.4112890,14.0715228,3.6496111,2.544994244,101
62,251021,25102X,2510XX,"Computer science teachers, postsecondary",251021,36150,*,106380,detailed,cross-industry,49.8,>95,12.8,16.7,,,1.85,23.125,5.55,69.375,1,69.375,<5,93.2,83.3,<0.5,>90,<0.5,<0.5,<0.5,27.7,<0.5,<0.5,27.1,72.9,35.4,<10,<0.5,<0.5,<0.5,>99.5,<0.5,66.5,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,6.8,,<5,15.4,1,Computer Science Teachers (Postsecondary),6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,357
89,193034,19303X,1930XX,School psychologists,193034,62790,44.22,91990,detailed,cross-industry,58.9,85.7,53.2,51.3,<0.5,4.5,2.02,25.25,5.54,69.25,1,69.25,14.3,69.1,48.7,<0.5,>99.5,18.4,27.5,<15,4.5,4.3,34.7,26.9,73.1,27.8,<10,<0.5,<0.5,<0.5,>99.5,29.2,<5,27,>99.5,>99.5,2.7,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,30.9,<0.5,<15,20.4,2,School Psychologists,37.6,17.1625849,82.8374151,6.4365624,11.3491239,2.5167300,1.285609685,307
71,112011,11201X,1120XX,Advertising and promotions managers,112011,20630,73.38,152620,detailed,cross-industry,,>75,,,<0.5,9.4,2.11,26.375,5.89,73.625,1,73.625,<25,>99.5,,<0.5,>99.5,,9.4,<0.5,9.4,,35.7,26.3,73.7,6.6,<0.5,<0.5,,,>99.5,35.7,39.3,71.9,>99.5,>99.5,10.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<20,<0.5,<0.5,17.8,,1,Ad Managers,34.2,15.5017312,84.4982688,5.1208763,8.9083818,5.3025076,4.532334596,376
7,339094,33909X,3390XX,School bus monitors,339094,72320,16.33,33970,detailed,cross-industry,94.2,4.8,>85,,,,1.45,18.125,3.7,46.25,1,1,95.2,<0.5,,<0.5,,,90.7,5.2,9.1,,,25.3,74.7,<0.5,>99.5,<0.5,,5.5,9.5,<0.5,<0.5,<0.5,>99.5,93.6,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,,>99.5,<0.5,<0.5,<0.5,2,School Bus Monitors,,31.6432735,68.3567265,30.1221488,19.4800939,0.9193017,6.762783755,290
87,119141,11914X,1191XX,"Property, real estate, and community association managers",119141,284120,37.69,78400,detailed,cross-industry,53.3,87.7,,63.7,,,1.96,24.5,5.85,73.125,1,73.125,12.3,>99.5,36.3,<0.5,>99.5,80.7,20,<0.5,10,8.6,68.3,24.7,75.3,8.3,11,<0.5,<0.5,<0.5,>85,68.3,21.1,10.6,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<10,<0.5,<0.5,29,34.1,6,Property Managers,58.5,19.2714478,80.7285522,8.6825389,14.1314905,4.1209168,4.15131956,113
63,119151,11915X,1191XX,Social and community service managers,119151,173650,40.1,83400,detailed,cross-industry,65.4,96.1,54.8,51.9,6.1,19.8,1.82,22.75,6.05,75.625,1,75.625,3.9,96.9,48.1,<0.5,>99.5,20.1,27.9,12.9,25.9,3.8,52.2,23.1,76.9,28.7,2.1,<0.5,,<0.5,>99.5,53.4,41.7,60.6,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<0.5,<0.5,3.1,<0.5,7.8,23.4,4,Community Service Managers,92.5,25.2332029,74.7667971,14.1226057,11.8074366,3.5989746,2.974943824,165
32,439199,43919X,4391XX,"Office and administrative support workers, all other",439199,172020,22.41,46620,detailed,cross-industry,37.2,67.9,31.2,,<0.5,7.1,1.73,21.625,5.84,73,1,73,32.1,57.8,59.7,<0.5,89.7,4.8,14,<15,7.1,5.1,16.5,22.4,77.6,<10,68.1,<0.5,<0.5,<0.5,91.9,10.2,3.8,3.1,>99.5,>95,<0.5,<0.5,<0.5,>95,<0.5,<0.5,<5,<0.5,<0.5,42.2,<0.5,8.1,<15,4,Admin Workers,35.2,33.1972789,66.8027211,10.9735953,14.0765966,11.8122443,8.106940456,168
56,112022,11202X,1120XX,Sales managers,112022,575880,75.77,157610,detailed,cross-industry,40.1,93.2,29.9,<45,<5,<10,1.83,22.875,6.33,79.125,1,79.125,6.8,97.3,63.8,<0.5,>99.5,15.1,5.3,1.2,5.2,2.8,56.7,22.4,77.6,29.1,6.3,<0.5,<0.5,<5,>95,55.8,53.7,68.4,>99.5,>99.5,1.6,<5,<0.5,>99.5,<0.5,1.1,<5,<0.5,<0.5,2.7,<0.5,4.6,20.7,12,Sales Managers,52.6,18.3986939,81.6013061,5.3409998,10.3562124,3.8075977,4.113954283,60
89,413011,41301X,4130XX,Advertising sales agents,413011,108100,36.45,75820,detailed,cross-industry,52.9,88.5,48,,<5,<35,1.79,22.375,6.19,77.375,1,77.375,11.5,>90,53,<0.5,>99.5,33.9,<25,<0.5,<40,<0.5,63.1,22.3,77.7,,,<0.5,<0.5,<0.5,>99.5,63.7,42.2,31.1,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<0.5,<0.5,<10,<0.5,,,3,Ad Sales Agents,24.7,16.3321692,83.6678308,6.9116891,10.5382496,3.9693107,3.829574067,236
66,193051,19305X,1930XX,Urban and regional planners,193051,42690,41.32,85940,detailed,cross-industry,41.4,86.2,35.1,45,,,1.55,19.375,6.03,75.375,1,75.375,13.8,>99.5,55,<0.5,>90,52,18.4,<5,9.8,11.5,62.8,21.2,78.8,32.2,5.1,<10,4.1,8.3,>99.5,61.9,37,93,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<10,<0.5,6.1,<0.5,<0.5,<0.5,<0.5,8.2,42.2,1,Urban Planners,66,20.0069469,79.9930531,5.9458413,9.4281635,8.1068654,2.96687075,346
68,151244,15124X,1512XX,Network and computer systems administrators,151244,323020,48.36,100580,detailed,cross-industry,67.4,86.3,56.3,54.6,2.2,30.1,1.69,21.125,6.28,78.5,1,78.5,13.7,95.3,44.8,<0.5,>99.5,1.3,57.5,<0.5,32.3,8.5,13.9,21.2,78.8,22.1,6,3.5,3,2.6,>99.5,13.4,43.6,68.7,>99.5,99.3,<5,<0.5,<0.5,>99.5,6.1,<0.5,8.4,<0.5,<0.5,4.7,<0.5,4.2,30,7,Network Admins,6,29.0214567,70.9785433,8.6172500,10.4011311,9.5051231,5.315617192,103
5,131051,13105X,1310XX,Cost estimators,131051,220970,38.23,79520,detailed,cross-industry,45.5,83.3,28.1,,5.5,11.8,1.66,20.75,6.41,80.125,1,80.125,16.7,98.3,50.2,<0.5,98.7,45.5,26.6,<10,17.2,6.5,53.4,20.5,79.5,19.6,19.6,<0.5,2.1,1.6,>99.5,53.2,24.8,30.4,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,12.9,<10,15.6,<0.5,0.7,1.7,<0.5,10,25.2,5,Cost Estimators,15.6,9.5446408,90.4553592,2.3691611,11.1248053,3.0503860,3.620127506,136
71,211029,21102X,2110XX,"Social workers, all other",211029,58460,33.08,68800,detailed,cross-industry,36.5,93.2,7.3,47.5,<5,<0.5,1.55,19.375,6.04,75.5,1,75.5,6.8,92.2,52.5,<0.5,>99.5,30.2,<15,<40,<5,<5,63.3,20.3,79.7,20.1,32.9,<0.5,<5,<0.5,>70,60.2,24.1,63.2,>99.5,>99.5,<10,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,7.8,<0.5,<0.5,18.5,2,Social Workers (Other),139.9,33.3487115,66.6512885,20.6966368,15.4191755,3.3805262,2.525901817,314
47,434171,43417X,4341XX,Receptionists and information clerks,434171,1003820,17.59,36590,detailed,cross-industry,61.6,73.8,40.7,<45,5.6,10.7,1.34,16.75,5.95,74.375,1,74.375,26.2,46.1,59.9,<0.5,>99.5,2.9,19.2,11.1,16.3,5,3.7,19.7,80.3,<0.5,97.8,<0.5,<5,<5,98.6,2.5,1.8,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<5,<0.5,<5,<0.5,<0.5,53.9,<0.5,1.3,<5,21,Receptionists,55.1,25.3184289,74.6815711,12.0442185,20.1812977,4.0669528,4.174732691,30
5,431011,43101X,4310XX,First-line supervisors of office and administrative support workers,431011,1504570,32.99,68620,detailed,cross-industry,44.7,95.6,33.5,<50,2.6,9,1.61,20.125,6.44,80.5,1,80.5,4.4,93.4,57,<0.5,>99.5,4.1,11,2,11.6,2,11.4,19.7,80.3,24.4,8.5,<0.5,<5,0.7,>99.5,11.2,20.9,30.3,>99.5,>99.5,0.5,<5,<0.5,>99.5,<0.5,<0.5,2.4,<0.5,<0.5,6.6,<0.5,17.5,24.2,31,Office Supervisors,28.9,22.4872538,77.5127462,11.0008647,14.5109727,4.3021703,3.436512848,14
60,434031,43403X,4340XX,"Court, municipal, and license clerks",434031,157960,23.44,48760,detailed,cross-industry,55.7,80.2,39.9,44,5.3,8.3,1.5,18.75,6.22,77.75,1,77.75,19.8,64.2,56,<0.5,>99.5,5,25.8,<0.5,13.7,2.7,10.4,19.2,80.8,<10,68.4,<0.5,<0.5,<5,>99.5,10.4,5,3.2,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<10,<0.5,<0.5,35.8,<0.5,9.5,13.9,4,Court Clerks,38.2,25.8338108,74.1661892,14.5317525,15.2958304,2.8384113,1.76889261,181
84,151231,15123X,1512XX,Computer network support specialists,151231,158720,37.81,78640,detailed,cross-industry,62.6,93,46.9,52.3,9.4,20.1,1.52,19,6.47,80.875,1,80.875,7,93.4,47.7,<0.5,>95,3,40.5,<0.5,29.6,6.8,19.5,19.1,80.9,25.3,4.6,4.1,5.8,4.8,>99.5,19.4,33.2,31.6,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,3.6,<0.5,6.8,<0.5,<0.5,6.6,<0.5,<0.5,29.3,4,Network Support Specialists,28.9,30.6814408,69.3185592,11.6958139,11.7867973,10.7016722,6.105281115,179
74,273031,27303X,2730XX,Public relations specialists,273031,275550,37.37,77720,detailed,cross-industry,25,89.7,19.6,,<0.5,<5,1.49,18.625,6.34,79.25,1,79.25,10.3,>99.5,56.1,<0.5,>95,10.9,3.9,<0.5,1.2,0.8,16.7,18.8,81.2,14.2,26.2,<0.5,<0.5,<0.5,>99.5,16.5,31.7,80.8,>99.5,>99.5,3.7,<0.5,<0.5,>95,<0.5,<0.5,<5,<0.5,<5,<0.5,<0.5,11.9,27.7,6,PR Specialists,4.6,18.9449782,81.0550218,8.3994116,11.2494469,4.3832897,3.844497865,118
80,151232,15123X,1512XX,Computer user support specialists,151232,689700,30.6,63640,detailed,cross-industry,62.9,78.4,52.5,62.4,4.1,22.7,1.44,18,6.51,81.375,1,81.375,21.6,84.1,35.3,<0.5,>99.5,2.7,50.4,<0.5,26.8,6.9,22.2,18.2,81.8,14.8,19.7,6.3,5.1,3.6,>99.5,21.9,36.9,24.6,>99.5,97.7,<0.5,<0.5,<0.5,>99.5,0.7,<0.5,3.9,<0.5,<0.5,15.9,<0.5,13.4,23.4,14,IT Support Specialists,7.3,30.6814408,69.3185592,11.6958139,11.7867973,10.7016722,6.105281115,48
